"TimeCreated","LevelDisplayName","ProviderName","Id","Message"
"20/7/2025 2:31:34 a. m.","Información","nhi","9008","Driver exit RTD3.
 All the connected devices will now cause DeviceConnected events."
"20/7/2025 2:30:39 a. m.","Información","Netwtw10","7026","7026 - Dump after return from D3 after cmd"
"20/7/2025 2:30:39 a. m.","Información","Netwtw10","7025","7025 - Dump after return from D3 before cmd "
"20/7/2025 2:27:35 a. m.","Información","Netwtw10","7026","7026 - Dump after return from D3 after cmd"
"20/7/2025 2:27:35 a. m.","Información","Netwtw10","7025","7025 - Dump after return from D3 before cmd "
"20/7/2025 2:25:25 a. m.","Información","Service Control Manager","7040","El tipo de inicio del servicio Servicio de transferencia inteligente en segundo plano (BITS) se cambió de inicio automático a inicio por solicitud."
"20/7/2025 2:24:35 a. m.","Información","Netwtw10","7026","7026 - Dump after return from D3 after cmd"
"20/7/2025 2:24:35 a. m.","Información","Netwtw10","7025","7025 - Dump after return from D3 before cmd "
"20/7/2025 2:22:09 a. m.","Información","Microsoft-Windows-Kernel-Power","566","La sesión del sistema ha cambiado de 10 a 11.

Motivo InputMouse 

BootId: 7"
"20/7/2025 2:21:30 a. m.","Información","Service Control Manager","7040","El tipo de inicio del servicio Servicio de transferencia inteligente en segundo plano (BITS) se cambió de inicio por solicitud a inicio automático."
"20/7/2025 2:21:28 a. m.","Advertencia","rt640x64","1","Realtek PCIe GbE Family Controller is disconnected from network."
"20/7/2025 2:21:27 a. m.","Información","Microsoft-Windows-Kernel-Power","506","El sistema está entrando en el modo de espera moderno 

motivo: 16777224. "
"20/7/2025 2:21:27 a. m.","Información","Microsoft-Windows-Kernel-Power","566","La sesión del sistema ha cambiado de 9 a 10.

Motivo 16777224 

BootId: 7"
"20/7/2025 2:21:27 a. m.","Información","Microsoft-Windows-Kernel-Power","507","El sistema está saliendo del modo de espera moderno 

motivo: 16777224. "
"20/7/2025 2:21:25 a. m.","Información","Netwtw10","7026","7026 - Dump after return from D3 after cmd"
"20/7/2025 2:21:25 a. m.","Información","Netwtw10","7025","7025 - Dump after return from D3 before cmd "
"20/7/2025 2:16:39 a. m.","Información","Netwtw10","7026","7026 - Dump after return from D3 after cmd"
"20/7/2025 2:16:39 a. m.","Información","Netwtw10","7025","7025 - Dump after return from D3 before cmd "
"20/7/2025 2:10:28 a. m.","Información","Microsoft-Windows-Kernel-Power","566","La sesión del sistema ha cambiado de 8 a 9.

Motivo InputMouse 

BootId: 7"
"20/7/2025 2:10:23 a. m.","Información","Microsoft-Windows-Kernel-Power","506","El sistema está entrando en el modo de espera moderno 

motivo: AC/DC Display Burst Suppressed. "
"20/7/2025 2:10:23 a. m.","Información","Microsoft-Windows-Kernel-Power","566","La sesión del sistema ha cambiado de 7 a 8.

Motivo InputMouse 

BootId: 7"
"20/7/2025 2:10:23 a. m.","Información","Microsoft-Windows-Kernel-Power","507","El sistema está saliendo del modo de espera moderno 

motivo: AC/DC Display Burst Suppressed. "
"20/7/2025 2:10:23 a. m.","Información","Microsoft-Windows-Kernel-Power","172","Estado de conectividad en modo de espera: Connected. Motivo: None"
"20/7/2025 2:10:23 a. m.","Información","Netwtw10","7026","7026 - Dump after return from D3 after cmd"
"20/7/2025 2:10:23 a. m.","Información","Netwtw10","7025","7025 - Dump after return from D3 before cmd "
"20/7/2025 2:10:23 a. m.","Información","Microsoft-Windows-Kernel-Power","105","Cambio de fuente de energía."
"20/7/2025 2:06:32 a. m.","Información","Microsoft-Windows-Kernel-Power","172","Estado de conectividad en modo de espera: Disconnected. Motivo: Adaptive Connected Standby"
"20/7/2025 2:06:25 a. m.","Información","Microsoft-Windows-Kernel-General","1","La hora del sistema ha cambiado a ‎2025‎-‎07‎-‎20T06:06:25.468592300Z de ‎2025‎-‎07‎-‎20T06:06:25.468631900Z.
Diferencia horaria: 0 ms

Motivo del cambio: An application or system component changed the time.
Proceso: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 11548).

Hora de RTC: ‎2025‎-‎07‎-‎20T02:06:25.468592300Z
Diferencia de zona horaria actual: 240
hora RTC es UTC: false
La hora del sistema se basaba en la hora RTC: false"
"20/7/2025 2:06:25 a. m.","Error","Microsoft-Windows-HAL","21","No se estableció el reloj en tiempo real de hardware debido a un error en la evaluación del método de dispositivo de alarma y hora ACPI.  Estado: 0xC00000BB."
"20/7/2025 2:06:25 a. m.","Error","Microsoft-Windows-HAL","20","No se consultó el reloj en tiempo real de hardware debido a un error en la evaluación del método de dispositivo de alarma y hora ACPI.  Estado: 0xC00000BB."
"20/7/2025 2:06:25 a. m.","Información","Microsoft-Windows-Kernel-General","24","La información de zona horaria se actualizó con el motivo de salida 0. La diferencia de zona horaria actual es 240."
"20/7/2025 2:06:25 a. m.","Información","Microsoft-Windows-Kernel-Power","566","La sesión del sistema ha cambiado de 6 a 7.

Motivo PolicyChange 

BootId: 7"
"20/7/2025 2:06:25 a. m.","Advertencia","Win32k","700","Administrador de energía solicitó la supresión de todas las entradas (INPUT_SUPPRESS_REQUEST = 1)"
